"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Thilothammal N.","Thilothammal, N. (6602493730)","6602493730","Approach to single - Enhancing CT lesions","2009","Indian Journal of Practical Pediatrics","11","4","","32","39","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72349085295&partnerID=40&md5=f3aaf0944b9d596083cc338cbf61cfff","Single enhancing CT lesions are reported more frequently as imaging of brain becomes more frequent. Neurocysticercosis is the most common cause of these lesions. In some patients the lesion may be a tuberculoma. Diagnostic dilemma begins when it is observed in asymptomatic persons and the dilemma in starting cysticidal drug is more when it is single and small. As albendazole therapy is controversial, these patients need to be treated initially with anti epileptic drug (AED) and it may be withdrawn when follow- up CT scan shows resolution of the lesion. Seizures due to calcified lesions should be treated with AED for 2 years. Persistent, symptomatic lesions need to be treated with cysticidal drugs and those lesions of > 20 mm should be investigated for tuberculous infection and treated appropriately.","Neurocysticercosis; Seizures; Single enhancing CT lesion; Tuberculoma","","","","Article","Final","","Scopus","2-s2.0-72349085295"
"Garcia H.H.; Gonzales I.; Lescano A.G.; Bustos J.A.; Zimic M.; Escalante D.; Saavedra H.; Gavidia M.; Rodriguez L.; Najar E.; Umeres H.; Pretell E.J.","Garcia, Hector H. (7202282335); Gonzales, Isidro (36514489400); Lescano, Andres G. (6602194591); Bustos, Javier A. (7003387767); Zimic, Mirko (6506696732); Escalante, Diego (6603472385); Saavedra, Herbert (57210277574); Gavidia, Martin (56355278200); Rodriguez, Lourdes (56221537100); Najar, Enrique (6508255107); Umeres, Hugo (56355213700); Pretell, E. Javier (57205704948)","7202282335; 36514489400; 6602194591; 7003387767; 6506696732; 6603472385; 57210277574; 56355278200; 56221537100; 6508255107; 56355213700; 57205704948","Efficacy of combined antiparasitic therapy with praziquantel and albendazole for neurocysticercosis: A double-blind, randomised controlled trial","2014","The Lancet Infectious Diseases","14","8","","687","695","8","145","10.1016/S1473-3099(14)70779-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907026825&doi=10.1016%2fS1473-3099%2814%2970779-0&partnerID=40&md5=4cb6e7c3e41d9806e269b96a7bda7ca7","Background: Neurocysticercosis causes a substantial burden of seizure disorders worldwide. Treatment with either praziquantel or albendazole has suboptimum efficacy. We aimed to establish whether combination of these drugs would increase cysticidal efficacy and whether complete cyst resolution results in fewer seizures. We added an increased dose albendazole group to establish a potential effect of increased albendazole concentrations. Methods: In this double-blind, placebo-controlled, phase 3 trial, patients with viable intraparenchymal neurocysticercosis were randomly assigned to receive 10 days of combined albendazole (15 mg/kg per day) plus praziquantel (50 mg/kg per day), standard albendazole (15 mg/kg per day), or increased dose albendazole (22·5 mg/kg per day). Randomisation was done with a computer generated schedule balanced within four strata based on number of cysts and concomitant antiepileptic drug. Patients and investigators were masked to group assignment. The primary outcome was complete cyst resolution on 6-month MRI. Enrolment was stopped after interim analysis because of parasiticidal superiority of one treatment group. Analysis excluded patients lost to follow-up before the 6-month MRI. This trial is registered with ClinicalTrials.gov, number NCT00441285. Findings: Between March 3, 2010 and Nov 14, 2011, 124 patients were randomly assigned to study groups (41 to receive combined albendazole plus praziquantel [39 analysed], 43 standard albendazole [41 analysed], and 40 increased albendazole [38 analysed]). 25 (64%) of 39 patients in the combined treatment group had complete resolution of brain cysts compared with 15 (37%) of 41 patients in the standard albendazole group (rate ratio [RR] 1·75, 95% CI 1·10-2·79, p=0·014). 20 (53%) of 38 patients in the increased albendazole group had complete cyst resolution at 6-month MRI compared with 15 (37%) of 41 patients in the standard albendazole group (RR 1·44, 95% CI 0·87-2·38, p=0·151). No significant differences in adverse events were reported between treatment groups (18 in combined treatment group, 11 in standard albendazole group, and 19 in increased albendazole group). Interpretation: Combination of albendazole plus praziquantel increases the parasiticidal effect in patients with multiple brain cysticercosis cysts without increased side-effects. A more efficacious parasiticidal regime without increased treatment-associated side-effects should improve the treatment and long term prognosis of patients with neurocysticercosis. Funding: National Institute of Neurological Disorders and Stroke (NINDS), National Institutes of Health. © 2014 Elsevier Ltd.","","Adolescent; Adult; Aged; Albendazole; Anthelmintics; Double-Blind Method; Drug-Related Side Effects and Adverse Reactions; Female; Humans; Male; Middle Aged; Neurocysticercosis; Placebos; Praziquantel; Treatment Outcome; Young Adult; albendazole; placebo; praziquantel; adolescent; adult; aged; article; combination chemotherapy; controlled study; double blind procedure; drug dose increase; drug efficacy; female; follow up; headache; hepatitis; human; major clinical study; male; monotherapy; neurocysticercosis; nuclear magnetic resonance imaging; phase 3 clinical trial; priority journal; randomized controlled trial; seizure; unspecified side effect","Fogarty International Center/NIH, (D43 TW001140, TW007393); National Institutes of Health, NIH, (NS054805); Fogarty International Center, FIC, (D43TW001140); National Institute of Neurological Disorders and Stroke, NINDS; Wellcome Trust, WT","This study was funded by the National Institute of Neurological Disorders and Stroke (NINDS), National Institutes of Health, USA , through grant NS054805 , with part support from the Fogarty International Center/NIH (training grants D43 TW001140 and TW007393 ). HHG is supported by a Wellcome Trust International Senior Research Fellowship in Public Health and Tropical Medicine. We thank members of the study data and safety monitoring board for their knowledgeable and constructive suggestions that helped to improve the trial design and performance; Robert H Gilman for his guidance, the enormous effort performed by our clinical coordination team (M Vera, K Fernandez, J Del Carpio, C Castillo, and C Arias), our clinical laboratory team (S Rodriguez, Y Castillo, E Perez, P Berrios, and K Arteaga); and the advice from our consultants A Delgado-Escueta, O H Del Brutto, J Horton, M T Medina, T E Nash, and O Takayanagui. The views expressed in this article are those of the authors only and do not necessarily reflect the official policy or position of the Department of the Navy, Department of Defense, nor the US Government.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84907026825"
"Berrueco Moreno R.; Martín Ibáñez I.; Martínez Roig A.; Vollmer Torrubiano I.","Berrueco Moreno, R. (8207141100); Martín Ibáñez, I. (6508272248); Martínez Roig, A. (55891951600); Vollmer Torrubiano, I. (26424036200)","8207141100; 6508272248; 55891951600; 26424036200","Focal convulsion in an 8-year-old boy; [Convulsión focal en paciente de 8 años]","2007","Anales de Pediatria","66","6","","637","638","1","3","10.1016/s1695-4033(07)70515-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547617173&doi=10.1016%2fs1695-4033%2807%2970515-5&partnerID=40&md5=b937b42dbf3e99b38698d4edb96cedae","[No abstract available]","","anticonvulsive agent; calcium; dexamethasone; praziquantel; acid base balance; article; brain edema; consciousness; focal epilepsy; frontal lobe; Glasgow coma scale; glioblastoma; human; migraine; neurocysticercosis; parasitosis; tonic clonic seizure; tuberculoma","","","Article","Final","","Scopus","2-s2.0-34547617173"
"Bhattarai S.; Thapa L.; Maharjan A.M.S.; Shrestha A.M.; Shrestha S.; Ghimire M.R.; Upadhyaya S.; Thapa M.","Bhattarai, S. (57201343692); Thapa, L. (37010027200); Maharjan, A.M.S. (57221248245); Shrestha, A.M. (55922675200); Shrestha, S. (56669299200); Ghimire, M.R. (57190385189); Upadhyaya, S. (57780804200); Thapa, M. (57204334026)","57201343692; 37010027200; 57221248245; 55922675200; 56669299200; 57190385189; 57780804200; 57204334026","Impact of Albendazole Therapy on Clinical and Radiological Outcomes at One Month in Patients with Active Solitary Neurocysticercosis Patients","2022","Kathmandu University Medical Journal","20","77","","61","65","4","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133485136&partnerID=40&md5=e7729aeefa252c395c53a499daf291fb","Background Cerebral neurocysticerosis is a common parasitic disease of human nervous system but evidence on duration of albendazole therapy and their outcomes in this condition is inadequate Objective To evaluate the impact of varying duration of albendazole therapy on the clinical and radiological outcomes at one month in patients with active solitary neurocysticercosis. Method This is an interventional study conducted at Upendra Devkota Memorial National Institute of Neurological and Allied sciences, Bansbari over 1 year (2017 March-2018 February). One hundred eighteen patients with new onset seizure secondary to active solitary cysticercal granuloma either received albendazole therapy for 1, 3, 9 or 21 days with the usual care or only received the usual care. Clinical and radiological outcomes were observed at one month follow-up. The difference in the proportion of the outcome measures between intervention and control groups were assessed using chi-square test. Result Our study included 118 patients with male predominance of 61.9%. Albendazole therapy for 3, 9 and 21 days reduced headache by 57.2%, 70.0% and 63.1% respectively which was higher than those with 1-day therapy or without the therapy. This difference in the proportion was statistically significant at p=0.001. Though seizure recurrence also declined but the difference was not significant (p=0.406) between groups. However, at one-month follow-up, majority of patients who received albendazole for 9 days (14, 70%) and 21 days (14, 73.7%) had normal lesion, while most calcified lesion (21, 67.7%) was observed in those who did not receive albendazole therapy. The difference between lesion among the groups was significant (p < 0.001). Conclusion Albendazole therapy in patients with active solitary neurocysticercosis for 9 days is as effective as 21 days and better than 3 days in headache control and lesion dissolution but seizure control could be achieved irrespective of the treatment. © 2022, Kathmandu University. All rights reserved.","Albendazole; Headache; Lesion dissolution; Neurocysticercosis; New-onset seizure","Albendazole; Female; Headache; Humans; Male; Neurocysticercosis; Radiography; Seizures; albendazole; anticonvulsive agent; albendazole; adult; Article; controlled study; disease control; follow up; human; intervention study; major clinical study; male; neurocysticercosis; nuclear magnetic resonance imaging; outcome assessment; recurrence risk; seizure; sex difference; single drug dose; treatment duration; treatment outcome; treatment response; x-ray computed tomography; complication; diagnostic imaging; female; headache; neurocysticercosis; radiography; seizure","Upendra Devkota Memorial National Institute of Neurological and Allied Sciences","I would like to acknowledge to all of the participants who agreed to participate in this study and to the Upendra Devkota Memorial National Institute of Neurological and Allied Sciences which allowed me to complete the study.","Article","Final","","Scopus","2-s2.0-85133485136"
"Carpio A.; Romo M.L.; Hauser W.A.; Kelvin E.A.","Carpio, Arturo (7003513941); Romo, Matthew L. (56037887400); Hauser, W. Allen (7103326561); Kelvin, Elizabeth A. (7801399488)","7003513941; 56037887400; 7103326561; 7801399488","New understanding about the relationship among neurocysticercosis, seizures, and epilepsy","2021","Seizure","90","","","123","129","6","13","10.1016/j.seizure.2021.02.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101220612&doi=10.1016%2fj.seizure.2021.02.019&partnerID=40&md5=4f88936c9da75496f88b4eb26f10ab9b","Epilepsy and neurocysticercosis are common neurological disorders and are major public health issues that contribute to the world's burden of disease. Acute symptomatic seizures, the main clinical manifestation of parenchymal neurocysticercosis, are caused by the host brain immune-inflammatory process in response to the death or degenerative phase of the parasite. Seizures may recur over the course of several months while the local inflammatory activity lasts. If the seizures recur once the acute process resolves, the patient can be diagnosed as having epilepsy. However, most acute symptomatic seizures secondary to neurocysticercosis do not evolve to epilepsy. Recent prospective studies suggest that the development of epilepsy, while more common than in the general population, is not as common in neurocysticercosis patients as originally suggested by cross-sectional studies. Antiparasitic treatment has been found to hasten the transition of cysts from the active phase to the degenerative phase and is associated with a short-term reduction in focal seizures after treatment. However, antiparasitic treatment has not been found to affect the transition from the degenerative phase to calcification, which is an epileptogenic substrate associated with subsequent epilepsy. In this narrative review, we critically appraise the relationship among neurocysticercosis, seizures, and epilepsy in the context of new developments in the literature. © 2021 British Epilepsy Association","Antiparasitic drugs; Epilepsy; Epileptogenesis; Neurocysticercosis; Prognosis; Seizures","Brain; Cross-Sectional Studies; Epilepsy; Humans; Neurocysticercosis; Seizures; Article; blood brain barrier; brain calcification; comorbidity; computer assisted tomography; disease association; epilepsy; epileptogenesis; follow up; granuloma; headache; human; intracranial hypertension; medical research; neurocysticercosis; nuclear magnetic resonance imaging; population research; probability; prognosis; propensity score; prospective study; recurrent disease; risk factor; seizure; solitary cysticercus granuloma; World Health Organization; brain; complication; cross-sectional study; diagnostic imaging; epilepsy; neurocysticercosis; seizure","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85101220612"
"Coyle C.M.","Coyle, Christina M. (7006342630)","7006342630","Neurocysticercosis: An Update","2014","Current Infectious Disease Reports","16","11","437","1","9","8","17","10.1007/s11908-014-0437-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910660222&doi=10.1007%2fs11908-014-0437-6&partnerID=40&md5=df2b0ee64cea235725c99f39a4951e1f","Neurocysticercosis (NCC) is the most common helminthic disease of the nervous system in humans and a major cause of acquired epilepsy worldwide. The presentation of the disease is dependent on both the immunological response of the host against the parasite as well as the location of the encysted organisms within the central nervous system (CNS). The principles of management utilized for intraparenchymal disease cannot be applied to extraparenchymal NCC. An advance in management of intraparenchymal NCC, the most common form encountered by physicians, is the use of both albendazole and praziquantel as a treatment strategy. Patients with subarachnoid NCC (SANCC) require months of treatment with both an antiparasitic agent and steroids to avoid complications such as hydrocephalus and vascular events during treatment. The determinants of successful treatment in SANCC have not been established, but response to therapy can be determined by evaluating several endpoints related to disease evolution including radiographic changes, serum antigen, and CSF antigen. Intraventricular NCC is primarily a surgical disease and data supports minimally invasive endoscopic removal of cysts in many of these patients. NCC is increasingly recognized in non-endemic countries due to increased immigration making it important for physicians to become familiar with the management of this disease. © 2014, Springer Science+Business Media New York.","Central nervous system infection; Cysticercosis; Helminthic infection; Hydrocephalus; Neurocysticercosis; Taenia solium; Tapeworm infection","albendazole; praziquantel; steroid; Article; brain ventricle; clinical feature; diffusion weighted imaging; human; minimally invasive surgery; neurocysticercosis; spinal cord; subarachnoid space; treatment indication; treatment response","","","Article","Final","","Scopus","2-s2.0-84910660222"
"Das K.; Mondal G.P.; Banerjee M.; Mukherjee B.B.; Singh O.P.","Das, Kamalesh (57213436861); Mondal, Gouranga Prasad (57216782032); Banerjee, Mousumi (56354939300); Mukherjee, Bansi Badan (7202760637); Singh, Om Prakash (7201951621)","57213436861; 57216782032; 56354939300; 7202760637; 7201951621","Role of antiparasitic therapy for seizures and resolution of lesions in neurocysticercosis patients: An 8 year randomised study","2007","Journal of Clinical Neuroscience","14","12","","1172","1177","5","39","10.1016/j.jocn.2006.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048962061&doi=10.1016%2fj.jocn.2006.09.004&partnerID=40&md5=82c8b65d6394361f9645ea0bc4df95cc","Neurocysticercosis is a common cause of acquired seizure disorder in developing countries, including India. The role of antiparasitic (albendazole) therapy for seizure control and resolution of lesions is still controversial due to a lack of adequately controlled studies. The objective of the present study was to evaluate the role of albendazole therapy for neurocysticercosis patients with two or more lesions to achieve seizure-free status and resolution of lesions. This was a randomised controlled study in which patients suffering from neurocysticercosis were prospectively followed up for more than 5 years (from January 1997 to January 2005). Patients were divided into two groups: patients in group A (n = 150) were treated with a combination of tapered doses of dexamethasone and albendazole, plus antiepileptic drugs; patients in group B (n = 150) were treated with antiepileptic drugs plus a placebo control. Patients were followed up every month for the first 6 months and then at 3-month intervals thereafter up to 5 years. Variables of interest were (i) recurrence of seizures; (ii) encephalopathy (headache/vomiting/altered sensorium); (iii) need for subsequent hospital admission; (iv) death; (v) resolution of lesions on follow-up CT. During the first 6 months and at intervals thereafter, increased seizure frequency and hospital readmissions, and increased incidence of encephalopathy were observed in group A (p = 0.01), and two patients in this group died with intractable seizures and encephalopathy. A greater proportion of lesions completely resolved in group B (p = 0.05), whereas a greater proportion of lesions calcified in group A (p = 0.05). Albendazole plus antiepileptic drugs did not have greater beneficial effects than antiepileptic drugs alone, but may have an adverse effect with respect to seizure control, encephalopathy, recurrent hospital admissions, calcification of lesions and cost of treatment. © 2007 Elsevier Ltd. All rights reserved.","Albendazole; Neurocysticercosis","Adult; Albendazole; Anthelmintics; Antiparasitic Agents; Brain; Electroencephalography; Enzyme-Linked Immunosorbent Assay; Female; Follow-Up Studies; Hospitalization; Humans; Male; Neurocysticercosis; Seizures; Tomography, X-Ray Computed; albendazole; anticonvulsive agent; antiparasitic agent; carbamazepine; dexamethasone; phenytoin; placebo; valproic acid; adult; article; brain damage; brain disease; clinical evaluation; clinical trial; computer assisted tomography; controlled clinical trial; controlled study; drug dose reduction; drug dose regimen; female; follow up; headache; hospital readmission; human; major clinical study; male; neurocysticercosis; neuroimaging; nuclear magnetic resonance imaging; priority journal; randomized controlled trial; seizure; sensory system; tonic clonic seizure; vomiting","","","Article","Final","","Scopus","2-s2.0-36048962061"
"Yacubian E.M.T.; Kakooza-Mwesige A.; Singh G.; Carpio A.; de Figueiredo N.V.; Lutzky Saute R.; Marques de Haes T.","Yacubian, Elza Márcia T. (6701730370); Kakooza-Mwesige, Angelina (24071127800); Singh, Gagandeep (57199952188); Carpio, Arturo (7003513941); de Figueiredo, Nathália V. (56465811000); Lutzky Saute, Ricardo (57226831750); Marques de Haes, Tissiana (57925449200)","6701730370; 24071127800; 57199952188; 7003513941; 56465811000; 57226831750; 57925449200","Common infectious and parasitic diseases as a cause of seizures: geographic distribution and contribution to the burden of epilepsy","2022","Epileptic Disorders","24","6","","994","1019","25","7","10.1684/epd.2022.1491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139739761&doi=10.1684%2fepd.2022.1491&partnerID=40&md5=c54a23b68e8d894c6b7110290864aa4b","This educational review article aims to provide information on the central nervous system (CNS) infectious and parasitic diseases that frequently cause seizures and acquired epilepsy in the developing world. We explain the difficulties in defining acute symptomatic seizures, which are common in patients with meningitis, viral encephalitis, malaria, and neurocysticercosis, most of which are associated with increased mortality and morbidity, including subsequent epilepsy. Geographic location determines the common causes of infectious and parasitic diseases in a particular region. Management issues encompass prompt treatment of acute symptomatic seizures and the underlying CNS infection, correction of associated predisposing factors, and decisions regarding the appropriate choice and duration of antiseizure therapy. Although healthcare provider education, to recognize and diagnose seizures and epilepsy related to these diseases, is a feasible objective to save lives, prevention of CNS infections and infestations is the only definitive way forward to reduce the burden of epilepsy in developing countries. © 2022 Epileptic Disorders.","acute symptomatic seizure; encephalitis; epileptogenesis; meningitis; treatment","Communicable Diseases; Encephalitis, Viral; Epilepsy; Humans; Neurocysticercosis; Seizures; albendazole; amphotericin B; ampicillin; atazanavir; atazanavir plus ritonavir; benzimidazole; cannabidiol; carbapenem; clindamycin; clobazam; corticosteroid; dexamethasone; doxycycline; erythromycin; gabapentin; imipenem; itraconazole; ivermectin; lacosamide; lamotrigine; levetiracetam; meropenem; phenobarbital; praziquantel; primidone; ritonavir; tetracycline; zidovudine; Actinomyces; antibiotic resistance; antiparasitic therapy; Article; bacterial meningitis; blood brain barrier; brain depth stimulation; brain edema; CD4 lymphocyte count; cell infiltration; central nervous system; central nervous system infection; central nervous system tuberculosis; cerebral malaria; cerebrospinal fluid; cerebrospinal fluid analysis; cestodiasis; communicable disease; developing country; diffusion weighted imaging; Echinococcus granulosus; Echinococcus multilocularis; education; electroencephalogram; electroencephalography; encephalitis; epilepsy; epileptogenesis; generalized epilepsy; geographic distribution; Haemophilus influenzae; headache; health care facility; health care personnel; hemianopia; hemispherectomy; hippocampal sclerosis; Histoplasma capsulatum; hospitalization; human; hydrocephalus; immunofluorescence; infestation; intensive care unit; intracranial pressure; lymphadenopathy; malaria; meningitis; microglia; Neisseria meningitidis; neurocysticercosis; nuclear magnetic resonance imaging; parasite clearance; parasitosis; Plasmodium vivax; polymerase chain reaction; prevalence; Prevotella; risk factor; scolex; seizure; sickle cell anemia; subdural empyema; Taenia solium; Toxocara canis; Toxocara cati; toxocariasis; vaccination; virus replication; complication; epilepsy; neurocysticercosis; seizure; virus encephalitis","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139739761"
"Zapata W.R.; Yang S.Y.; Bustos J.A.; Gonzales I.; Saavedra H.; Guzman C.; Pretell E.J.; Garcia H.H.","Zapata, Willy R. (55536665800); Yang, Susan Y. (57207568388); Bustos, Javier A. (7003387767); Gonzales, Isidro (36514489400); Saavedra, Herbert (57210277574); Guzman, Carolina (57668828600); Pretell, E. Javier (57205704948); Garcia, Hector H. (7202282335)","55536665800; 57207568388; 7003387767; 36514489400; 57210277574; 57668828600; 57205704948; 7202282335","Quality of life in patients with symptomatic epilepsy due to neurocysticercosis","2022","Epilepsy and Behavior","131","","108668","","","","1","10.1016/j.yebeh.2022.108668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129494970&doi=10.1016%2fj.yebeh.2022.108668&partnerID=40&md5=28b0745301efe3fb86ab00d4c5aecad4","Background: Neurocysticercosis (NCC) is a common cause of late-onset epilepsy worldwide, but there is still minimal information regarding its impact on a patient's quality of life. This study evaluated quality of life in a series of patients with epilepsy secondary to NCC using the QOLIE (Quality of Life in Epilepsy)-31 questionnaire. Methodology: This cross-sectional study included 155 Peruvian patients between 16 and 70 years of age with epilepsy due to viable intraparenchymal NCC, who enrolled in two trials of anti-parasitic treatment during the period 2006–2011. The QOLIE-31 questionnaire was applied before the onset of anti-parasitic treatment. The associations between QOLIE-31 scores, sociodemographic characteristics, clinical, and neuroimaging data were analyzed with Kruskal–Wallis test and generalized linear models (GLM). Results: The average QOLIE-31 score was 55.8 (SD ± 7.6), with 119 individuals (76.8%) scoring in the poor quality-of-life category. Generalized tonic-clonic seizures and secondarily generalized epileptic seizures were associated with a lower QOLIE-31, as well as a low level of education with a value of p = 0.05. There were no associations between QOLIE-31 scores and other variables such as sex, age, antiepileptic medication, number of parasitic cysts, and number of compromised brain regions. On multivariate analysis, a greater number of generalized epileptic seizures maintained a statistically significant association with detrimental QOLIE-31 scores. Conclusion: Quality of life is affected in NCC, mainly in relation to the number of prior generalized epileptic seizures. © 2022 Elsevier Inc.","Cysticercosis; Epilepsy; Neurocysticercosis; Peru; QOLIE-31 score; Quality of life","Cross-Sectional Studies; Epilepsy; Humans; Neurocysticercosis; Quality of Life; Seizures; Surveys and Questionnaires; albendazole; praziquantel; adolescent; adult; aged; antiparasitic therapy; Article; brain region; computer assisted tomography; cross-sectional study; education; epilepsy; epileptic patient; female; human; Kruskal Wallis test; major clinical study; male; neurocysticercosis; neuroimaging; nuclear magnetic resonance imaging; Peruvian; QOLIE-31 score; quality of life; questionnaire; scoring system; complication; diagnostic imaging; epilepsy; neurocysticercosis; quality of life; seizure","FIC-NIH; Fogarty International Center, FIC, (D43TW001140)","This work was partially supported by FIC-NIH Training Grant D43TW001140. The authors thank Drs. A. Guillermo Lescano and Sumona Datta for their mentoring on the present project; Dr. Saúl Santivañez, for his observations and improvements directed to the study, and all of the participants and clinical workers involved in the collection of data. ","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85129494970"
"Padma Srivastava M.V.","Padma Srivastava, M.V. (16245915900)","16245915900","Single small enhancing CT Lesions, with special reference to neurocysticercosis: How i treat","2015","Annals of Indian Academy of Neurology","18","3","","286","289","3","1","10.4103/0972-2327.162269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938821020&doi=10.4103%2f0972-2327.162269&partnerID=40&md5=8cd0c272c248ab0805f0439687f018da","Single small enhancing CT lesions (SSECTL) have been very commonly encountered in clinical practice.These lesions typically are small (often < 20 mm), enhancing as a ring lesion or a disc and with varying amounts of surrounding edema. Most SSECTL present as focal seizures. Once the diagnosis of SSECTL and likely to be a solitary cysticercus lesion is made, the patient is given appropriate AED therapy. Depending on the resolution pattern on repeat imaging performed at intervals not less than six months if patient remains asymptomatic, cysticidal therapy is instituted along with AEDs. Any deviation from the classical clinical or radiological patterns needs further evaluation and other etiologies described for the SSECTL will need to be ruled out, including that of tuberculosis. Largely these lesions resolve and the clinical condition remains benign and in most patients AEDs can be withdrawn in two to three years period.","Cysticercosis; epilepsy; SSECTL","albendazole; anticonvulsive agent; praziquantel; steroid; Article; ataxia; brain damage; cat scratch disease; diplopia; focal epilepsy; headache; human; hypesthesia; intracranial pressure; mental deterioration; neurocysticercosis; nuclear magnetic resonance imaging; optic nerve atrophy; papilledema; perception deafness; psychosis; pyramidal sign; single small enhancing computed tomography lesion; spinal cord compression; symptomatic epilepsy; treatment duration; vertigo; visual impairment","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84938821020"
"Garg R.K.","Garg, Ravindra Kumar (7202772516)","7202772516","Treatment of neurocysticercosis: Is it beneficial?","2008","Expert Review of Anti-Infective Therapy","6","4","","435","440","5","4","10.1586/14787210.6.4.435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249125464&doi=10.1586%2f14787210.6.4.435&partnerID=40&md5=9581b7b3e14a05421186760315d21636","Neurocysticercosis is the most common parasitic disease of the CNS. Intracranial neurocysticercosis is classified into cerebral parenchymal and extraparenchymal forms (subarachnoidal and intraventricular). Current medical therapy for parenchymal and extra parenchymal neurocysticercosis invovles the use of anticysticercal drugs. Albendazole and praziquantel are two commonly used drugs. Most experts prefer to always use oral or parenteral corticosteroids along with anticysticercal drugs. The role of anticysticercal drugs in the treatment of parenchymal neurocysticercosis has always been a subject of intense controversy. Whether therapy with anticysticercal drugs results in improved seizure-related prognosis remains a major concern. A recent meta-analysis evaluating six controlled trials suggests that treatment with anticysticercal drugs results in better resolution of colloidal and vesicular cysticerci; in patients taking anticysticercal drugs, there was a lower risk of seizure reccurence in patients with colloidal cysticerci and a significant reduction in the rate of generalized seizures in patients with vesicular cysticerci. However, the findings of the study by Carpio et al. have revived the controversy regarding this treatment. These authors noted that the effect of a single dose of albendazole is, at best, only modest. Only a minority of patients with parenchymal neurocysticercosis benefitted and became cyst free and there was a lack of effectiveness toward the associated seizure disorders. No response was seen in patients with degenerative parenchymal or extra parenchymal forms of neurocysticercosis. Carpio et al. suggest that there is a need for further studies that employ different approaches, such as the use of high initial doses of albendazole, the use of two anticysticercai drugs or repeated prolonged courses of albendazole. © 2008 Expert Reviews Ltd.","Albendazole; Antiepileptic drug; Cysticercosis; Epilepsy; Granuloma; Headache; Neurocysticercosis; Praziquantel","albendazole; anticonvulsive agent; carbamazepine; corticosteroid; dexamethasone; methotrexate; phenytoin; placebo; praziquantel; prednisolone; article; brain disease; clinical feature; clinical trial; cysticercosis; drug dose reduction; drug fatality; drug induced headache; drug megadose; drug substitution; drug withdrawal; follow up; headache; human; hydrocephalus; intracranial hypertension; low drug dose; multiple cycle treatment; neurocysticercosis; neurologic disease; nuclear magnetic resonance imaging; seizure; single drug dose; stomach disease; Taenia solium; unspecified side effect","","","Article","Final","","Scopus","2-s2.0-55249125464"
