CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-02754415","NCT06565507,","Oxfendazole in Mild Parenchymal Brain Cysticercosis","https://clinicaltrials.gov/ct2/show/NCT06565507","2024","This three‐arm randomized controlled phase II/III clinical trial will compare theefficacy and safety of a single‐dose regimen with 20 mg/kg oxfendazole and a regimen withthree similar doses spread over seven days (day 1, day 4 and day 7), with the mosteffective antiparasitic regimen available, combined albendazole plus praziquantel for tendays in individuals with mild NCC (with one to two lesions).Participants will receive treatment with oxfendazole (one or three dose regimens) or thestandard treatment (albendazole + praziquantel). At day 15 after treatment onset, an MRIwill be perfomed to evaluate early predictors of lesion resolution. MRI at day 90 willserve to evaluate efficacy (lesion resolution) and a day 180 MRI will evaluate sequelarlesions. CT will be perfomed at the en of the study to confirm persistence of calcifiedsequelar lesion.The study will enroll 544 patients with viable or degenerating parenchymal NCC with nomore than two lesions, all in a single brain area. Lesions can be one or two adjacent,viable or degenerating NCC lesions. Patients with only calcified lesions will not beincluded even if they show perilesional contrast enhancement.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"CTgov NCT06565507","","","Trial registry record","Albendazole; Cysticercosis; Neurocysticercosis; Oxfendazole; Praziquantel; Taeniasis",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02754415/full",
"CN-00702926","Kaur, S; Singhi, P; Singhi, S; Khandelwal, N","Combination therapy with albendazole and praziquantel versus albendazole alone in children with seizures and single lesion neurocysticercosis: a randomized, placebo-controlled double blind trial","Pediatric infectious disease journal","2009","BACKGROUND: A combination of albendazole and praziquantel was more effective than albendazole alone in destroying Taenia cysts in an animal model. There are no such studies in humans. OBJECTIVE: To evaluate the efficacy and safety of a combination of albendazole and praziquantel in children with seizures and single small enhancing computerized tomographic lesions. STUDY TYPE: Prospective, interventional, randomized, placebo‐controlled, double blind clinical trial at a tertiary hospital in North India. SUBJECTS: : One hundred twelve children with seizures for <3 months and single lesion neurocysticercosis; 9 lost to follow‐up. INTERVENTION: All children received albendazole (15 mg/kg/d) for 7 days with either praziquantel or placebo (75 mg/kg/d) for 1 day according to random allocation. Repeat CT scans were done after 1, 3, and 6 months. All children were followed up for at least 6 months. RESULTS: Fifty‐three children received praziquantel (group A) and 50 placebo (group B). Complete resolution of lesions was seen in 60% and 72% of children at 3 and 6 months in group A versus 42% and 52% of children in group B. Nonresolution and calcification were higher in group B than in group A at 3 months (B: 28%, 14%; A: 12%, 8%) and 6 months (B: 16%, 22%; A: 6%, 9%), but the differences were not statistically significant. Seizure control and side effects were similar in the 2 groups. CONCLUSIONS: A combination therapy for albendazole and praziquantel was statistically comparable to sole therapy with albendazole in eradicating lesions and preventing seizures.","28","5","403‐406","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 19325515",,,,,"Journal article","Adolescent; Albendazole [*administration & dosage, adverse effects, therapeutic use]; Animals; Anthelmintics [*administration & dosage, adverse effects, therapeutic use]; Child; Child, Preschool; Double‐Blind Method; Drug Therapy, Combination; Female; Hospitalization; Humans; India; Infant; Male; Neurocysticercosis [complications, *drug therapy, pathology]; Praziquantel [*administration & dosage, adverse effects, therapeutic use]; Seizures [*drug therapy, etiology, pathology]; Taenia","10.1097/INF.0b013e31819073aa","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00702926/full","Epilepsy; Infectious Diseases"
"CN-02139360","Bustos, JA; Arroyo, G; Gilman, RH; Soto-Becerra, P; Gonzales, I; Saavedra, H; Pretell, EJ; Nash, TE; O'Neal, SE; Del Brutto, OH; Gonzalez, AE; Garcia, HH","Frequency and determinant factors for calcification in neurocysticercosis","Clinical infectious diseases","2021","BACKGROUND: Neurocysticercosis is a major cause of acquired epilepsy. Larval cysts in the human brain eventually resolve and either disappear or leave a calcification that is associated with seizures. In this study, we assessed the proportion of calcification in parenchymal neurocysticercosis and risk factors associated with calcification. METHODS: Data for 220 patients with parenchymal NCC from 3 trials of antiparasitic treatment were assessed to determine what proportion of the cysts that resolved 6 months after treatment ended up in a residual calcification at 1 year. Also, we evaluated the risk factors associated with calcification. RESULTS: The overall proportion of calcification was 38% (188/497 cysts, from 147 patients). Predictors for calcification at the cyst level were cysts larger than 14 mm (risk ratio [RR], 1.34; 95% confidence interval [CI], 1.02‐1.75) and cysts with edema at baseline (RR, 1.39; 95% CI, 1.05‐1.85). At the patient level, having had more than 24 months with seizures (RR, 1.25; 95% CI, 1.08‐1.46), mild antibody response (RR, 1.14; 95% CI, 1.002‐1.27), increased dose albendazole regime (RR, 1.26; 95% CI, 1.14‐1.39), lower doses of dexamethasone (RR, 1.36; 95% CI, 1.02‐1.81), not receiving early antiparasitic retreatment (RR, 1.45; 95% CI, 1.08‐1.93), or complete cure (RR, 1.48; 95% CI, 1.29‐1.71) were associated with a increased risk of calcification. CONCLUSIONS: Approximately 38% of parenchymal cysts calcify after antiparasitic treatment. Some factors associated with calcification are modifiable and may be considered to decrease or avoid calcification, potentially decreasing the risk for seizure relapses.","73","9","e2592‐e2600","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 32556276","EMBASE 632128287",,,,"Journal article","*Neurocysticercosis [complications, drug therapy, epidemiology]; *Taenia solium; *calcification; *neurocysticercosis; *risk factor; Adult; Albendazole [therapeutic use]; Animals; Antibody response; Antiparasitic Agents [therapeutic use]; Antiparasitic therapy; Article; Brain; Controlled study; Cyst; Edema; Female; Human; Humans; Low drug dose; Major clinical study; Male; Nonhuman; Randomized controlled trial; Retreatment; Risk assessment; Seizure; Seizures [epidemiology, etiology]","10.1093/cid/ciaa784","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02139360/full",
"CN-01976129","Carpio, A; Chang, M; Zhang, H; Romo, ML; Jaramillo, A; Hauser, WA; Kelvin, EA","Exploring the complex associations over time among albendazole treatment, cyst evolution, and seizure outcomes in neurocysticercosis","Epilepsia","2019","OBJECTIVE: To develop a causal model for the occurrence of neurocysticercosis (NC)‐related seizures and test hypotheses generated from the model. METHODS: We used data from a randomized controlled trial comparing albendazole with placebo among patients newly diagnosed with NC. Based on our causal model, we explored the associations among albendazole treatment, NC cyst evolution, and seizure outcomes over 24 months of follow‐up using generalized linear mixed effect models. RESULTS: We included 153 participants, of whom 51% received albendazole. The association between seizure outcomes and treatment over time demonstrated lack of linearity and heterogeneity, requiring the inclusion of time‐treatment interaction terms for valid modeling. Participants in the albendazole group had fewer seizures overall and of partial onset at all time points compared with the placebo group, but the difference increased over the first few months following treatment, then decreased over time. Generalized seizures exhibited a more complex association; those in the albendazole group had fewer seizures compared with those in the placebo group for the first few months after treatment, and then the association reversed and those in the placebo arm had fewer seizures. Adjusting for the number of NC cysts in each phase resulted in an attenuation of the strength of association between albendazole and seizure outcomes, consistent with mediation. Among participants in whom all cysts had disappeared (n = 21), none continued to have seizures. SIGNIFICANCE: Albendazole treatment is associated with a possible reduction in focal seizures in the short term (3‐6 months), perhaps by hastening the resolution of the cysts. However, the effect is not discernible over the long term, because most cysts either calcify or resolve completely, regardless of whether treated with albendazole. The stage of evolution of the cysticercus is an important consideration in the evaluation of albendazole effect on seizure outcome.","60","9","1820‐1828","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 31355931","EMBASE 628848386",,,,"Journal article","*cyst; *focal epilepsy; *neurocysticercosis; Adolescent; Adult; Aged; Aged, 80 and over; Albendazole [*therapeutic use]; Anthelmintics [*therapeutic use]; Article; Attenuation; Child; Child, Preschool; Controlled study; Disease Progression; Disease simulation; Drug therapy; Female; Follow up; Human; Humans; Major clinical study; Male; Middle Aged; Neurocysticercosis [complications, *drug therapy]; Randomized controlled trial; Seizures [*drug therapy, etiology]; Tonic clonic seizure; Treatment Outcome; Young Adult","10.1111/epi.16302","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01976129/full",
"CN-00810577","de Souza, A; Nalini, A; Kovoor, JM; Yeshraj, G; Siddalingaiah, HS; Thennarasu, K","Perilesional gliosis around solitary cerebral parenchymal cysticerci and long-term seizure outcome: a prospective study using serial magnetization transfer imaging","Epilepsia","2011","PURPOSE: Epilepsy following solitary cerebral cysticercosis (SCC) is possibly caused by perilesional gliosis, best visualized on magnetization transfer imaging (MTI).This study aims to describe development of gliosis around SCC by prospective serial MTI and to correlate this gliosis with long‐term seizure outcome. METHODS: We randomized 123 patients with SCC and new‐onset seizures to treatment with albendazole plus antiepileptics (treatment), or antiepileptics only (control), and performed magnetic resonance imaging (MRI) scans at 0, 3, 6, 12, and 24 months. Prospective follow‐up data regarding seizure outcome up to 5 years later were collected. MRI studies were analyzed for lesion characteristics and perilesional magnetization transfer (MT) hyperintensity. KEY FINDINGS: Clinical and radiologic data of 77 patients were analyzed. Demographic and seizure characteristics were similar in treatment and control groups. Clinical data were available up to 64 months after enrollment. At 12 months, 89.5% patients were seizure‐free. MTI is more sensitive than routine imaging for detection of perilesional gliosis. Albendazole treatment did not affect imaging or clinical outcome, including development of gliosis. Independent of duration of follow‐up, gliosis was associated with more seizures, and with seizure recurrence at 12 months; duration of seizures and antiepileptic therapy was longer. Gliosis was not dependent on seizure type or stage of degeneration at enrollment or persistence/calcification of the lesion. SIGNIFICANCE: Perilesional gliosis around SCC helps prognosticate seizure outcome. Poorer outcome in patients with persistent lesions is likely to be related to mechanisms other than gliosis. The lack of effect of albendazole on seizure outcome may be due to its inability to decrease formation of gliosis.","52","10","1918‐1927","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 21777233",,,,,"Journal article","Adolescent; Adult; Albendazole [administration & dosage, therapeutic use]; Anthelmintics [administration & dosage, therapeutic use]; Anticonvulsants [administration & dosage, therapeutic use]; Brain [parasitology, pathology]; Child; Child, Preschool; Drug Therapy, Combination; Gliosis [drug therapy, etiology, *parasitology, pathology]; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Neurocysticercosis [*complications, drug therapy, pathology]; Prospective Studies; Seizures [drug therapy, etiology, *parasitology, pathology]; Young Adult","10.1111/j.1528-1167.2011.03189.x","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00810577/full","Epilepsy"
"CN-01380504","Garcia, HH; Lescano, AG; Gonzales, I; Bustos, JA; Pretell, EJ; Horton, J; Saavedra, H; Gonzalez, AE; Gilman, RH","Cysticidal Efficacy of Combined Treatment With Praziquantel and Albendazole for Parenchymal Brain Cysticercosis","Clinical infectious diseases","2016","BACKGROUND: The efficacy of current antiparasitic treatment for cerebral Taenia solium cysticercosis with either albendazole (ABZ) or praziquantel (PZQ) is suboptimal. A recent study demonstrated that combining these 2 antiparasitic drugs improves antiparasitic efficacy. We present here the parasiticidal efficacy data obtained during a previous phase II pharmacokinetic study that compared combined ABZ plus PZQ with ABZ alone. METHODS: The study was a randomized, double‐blinded, placebo‐controlled phase II evaluation of the pharmacokinetics of ABZ (15 mg/k/d, for 10 days) and PZQ (50 mg/k/d, for 10 days) in intraparenchymal brain cysticercosis. Patients received the usual concomitant medications, including an antiepileptic drug (phenytoin or carbamazepine), dexamethasone, and ranitidine. Randomization was stratified by antiepileptic drug. Patients underwent safety laboratory evaluations at days 4, 7, and 11, as well as magnetic resonance (MR) imaging at 6 months to assess parasiticidal efficacy. RESULTS: Thirty‐two patients were included, 16 in each arm. All of them completed antiparasitic treatment and underwent follow‐up brain MR imaging. Cysticidal efficacy was strikingly higher in the combined ABZ‐plus‐PZQ group than in the ABZ‐alone group (proportion of cysts resolved, 78 of 82 [95%] vs 23 of 77 [30%] [relative risk {RR}, 3.18; 95% confidence interval {CI}, 2.08‐4.88; P < .001]; patients with complete cyst clearance, 12 of 16 [75%] vs 4 of 16 [25%] [RR, 3.00; 95% CI, 1.23‐7.34; P = .005]). CONCLUSIONS: The combination of ABZ plus PZQ is more effective in destroying viable brain cysticercosis cysts than ABZ alone. CLINICAL TRIALS REGISTRATION: NCT00441285.","62","11","1375‐1379","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26984901",,"","","","Journal article","Adolescent; Adult; Albendazole [pharmacology, *therapeutic use]; Animals; Anticestodal Agents [pharmacology, *therapeutic use]; Brain Diseases [*drug therapy, parasitology]; Female; Humans; Male; Neurocysticercosis [*drug therapy, parasitology]; Praziquantel [pharmacology, *therapeutic use]; Taenia solium [*drug effects]; Young Adult","10.1093/cid/ciw134","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01380504/full","Infectious Diseases"
"CN-00648614","Carpio, A; Kelvin, EA; Bagiella, E; Leslie, D; Leon, P; Andrews, H; Hauser, WA","Effects of albendazole treatment on neurocysticercosis: a randomised controlled trial","Journal of neurology, neurosurgery, and psychiatry","2008","AIM: The aim of this trial was to evaluate the effects of albendazole (ALB) on cyst disappearance, reduction of the number of cysts and seizure recurrence. METHODS: 178 patients with new onset symptoms due to active or transitional neurocysticercosis were randomly assigned to receive either 800 mg of ALB daily or placebo for 8 days. All patients also received prednisone. Imaging studies were done at baseline and at months 1, 6 and 12 of follow‐up. RESULTS: Active cysts were identified in 59 of 88 people randomised to ALB and 57 of the 90 in the placebo arm. By 1 month, 31% were free of active cysts in the treatment group compared with 7% in the placebo group (p = 0.001). In addition, the ALB group had a greater reduction in the number of active cysts compared with the placebo group (p = 0.001). After 1 month following treatment there was no additional gain by treatment group in the disappearance or reduction in the number of active cysts. ALB treatment had little effect on cysts in the transitional or calcification stage. We found no difference between the ALB and placebo groups in symptoms during treatment or in seizure recurrence during the 12 months after treatment. CONCLUSION: Albendazole plus symptomatic treatment leads to the disappearance of active cysts in 31% of patients compared with 7% of those with symptomatic treatment alone. This treatment effect occurs within the first 30 days after treatment. Trial registration number: NCT00283699.","79","9","1050‐1055","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 18495737",,"","","","Journal article","Adult; Aged; Aged, 80 and over; Albendazole [*therapeutic use]; Antiparasitic Agents [*therapeutic use]; Anti‐Inflammatory Agents [therapeutic use]; Brain [diagnostic imaging, parasitology, pathology]; Child; Child, Preschool; Cysts; Drug Therapy, Combination; Female; Follow‐Up Studies; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Neurocysticercosis [diagnosis, *drug therapy, *parasitology]; Prednisone [therapeutic use]; Recurrence; Seizures [diagnosis, *etiology]; Tomography, X‐Ray Computed","10.1136/jnnp.2008.144899","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00648614/full","Epilepsy; Infectious Diseases"
"CN-01053701","Garcia, HH; Gonzales, I; Lescano, AG; Bustos, JA; Pretell, EJ; Saavedra, H; Nash, TE","Enhanced steroid dosing reduces seizures during antiparasitic treatment for cysticercosis and early after","Epilepsia","2014","OBJECTIVE: Neurocysticercosis (NCC) is a major cause of seizures and epilepsy in endemic countries. Antiparasitic treatment of brain cysts leads to seizures due to the host's inflammatory reaction, requiring concomitant steroids. We hypothesized that increased steroid dosing will reduce treatment‐associated seizures. METHODS: Open‐label randomized trial comparing 6 mg/day dexamethasone for 10 days (conventional) with 8 mg/day for 28 days followed by a 2‐week taper (enhanced) in patients with NCC receiving albendazole. Follow‐up included active seizure surveillance and brain imaging. Study outcomes were seizure days and patients with seizures, both measured in days 11‐42. Additional analyses compared days 1‐10, 11‐21, 22‐32, 33‐42, 43‐60, and 61‐180. RESULTS: Thirty‐two individuals were randomized into each study arm; two did not complete follow‐up. From days 11 to 42, 59 partial and 6 generalized seizure days occurred in 20 individuals, nonsignificantly fewer in the enhanced arm (12 vs. 49, p = 0.114). The numbers of patients with seizures in this period showed similar nonsignificant differences. In the enhanced steroid arm there were significantly fewer days and individuals with seizures during antiparasitic treatment (days 1‐10: 4 vs. 17, p = 0.004, and 1 vs. 10, p = 0.003, number needed to treat [NNT] 4.6, relative risk [RR] 0.1013, 95% confidence interval [CI] 0.01‐0.74) and early after dexamethasone cessation (days 11‐21: 6 vs. 27, p = 0.014, and 4 vs. 12, p = 0.021, NNT 4.0, RR 0.33, 95% CI 0.12‐0.92) but not after day 21. There were no significant differences in antiparasitic efficacy or relevant adverse events. SIGNIFICANCE: Increased dexamethasone dosing results in fewer seizures for the first 21 days during and early after antiparasitic treatment for viable parenchymal NCC but not during the first 11‐42 days, which was the primary predetermined time of analysis.","55","9","1452‐1459","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 25092547",,,,,"Journal article","Adolescent; Adult; Antiparasitic Agents [*therapeutic use]; Cysticercosis [*complications, drug therapy]; Dexamethasone [*therapeutic use]; Electroencephalography; Female; Follow‐Up Studies; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Retrospective Studies; Seizures [*drug therapy, *etiology]; Time Factors; Young Adult","10.1111/epi.12739","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01053701/full",
"CN-01521905","NCT02947581,","Sub Arachnoid Neurocysticercosis Treatment Outcome (SANTO)","https://clinicaltrials.gov/show/NCT02947581","2016","Double‐blind, randomized, placebo‐controlled study in patients with subarachnoid cysticercosis of the basal cisterns or the Sylvian fissure, comparing in two parallel arms the efficacy of the standard of care anti‐parasitic regime (30 days of ABZ at 15 mg/k/d, up to 1200 mg/k/d) with a combined regime using similar doses of ABZ and adding PZQ at 50 mg/k/d for the initial 15 days of anti‐parasitic treatment. The study and interim analysis plan are designed to allow direct, concrete efficacy comparison in this deadly type of NCC while minimizing the risks of disease progression in the standard of care arm. In short, this is a parallel group study with a dichotomous primary outcome variable. The main analysis will compare the proportions of patients obtaining the primary outcome at 6 months, using a Chi‐square test in a bivariate analysis. A similar analysis will be used for the proportions of patients with a good clinical outcome, and the proportions of patients in whom lesion resolution sustains when assessed at month 12. A Student T test analysis will be used to compare for reduction in parasite volume and non‐parametric Mann‐Whitney test will be alternatively applied for non‐normally distributed data. A non‐parametric Spearman's Rho test will be used to assess the correlation between the proportions of cyst mass reduction with the decrease in antigen levels in each study group. A Chi‐square test in a bivariate analysis will evaluate the association between negative antigen levels at 6 months versus the complete disappearance of cyst mass.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"CTgov NCT02947581","","","Trial registry record","Albendazole; Cysticercosis; Neurocysticercosis; Praziquantel; Taeniasis",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01521905/full",
"CN-02495130","Singla, A; Lekhwani, S; Vaswani, ND; Kaushik, JS; Dabla, S","Fourteen Days vs 28 Days of Albendazole Therapy for Neurocysticercosis in Children: An Open Label Randomized Controlled Trial","Indian pediatrics","2022","BACKGROUND: There is a paucity of literature to support 14‐days albendazole therapy for neurocysticercosis (NCC). OBJECTIVE: To compare the efficacy of 14‐day and 28‐day albendazole therapy in the management of children with newly diagnosed active NCC. STUDY DESIGN: Open‐labelled randomized controlled trial. PARTICIPANTS: Children aged 1‐14 years with newly diagnosed active neurocysticercosis. INTERVENTION: Albendazole (15 mg/kg/day) for either 14 days or 28 days. OUTCOME: The primary outcome measure was proportion of children with radiological resolution of active lesion at 6‐month follow up. Secondary outcome measures were proportion of children with seizure recurrence, duration to seizure recurrence and calcification on follow up imaging. RESULTS: 65 children with newly diagnosed NCC were rando‐mized to receive albendazole therapy for 14 days (n=32) or 28 days (n=33). The proportion of children with complete resolution was comparable between the two groups [6 (18.8%) vs. 9 (27.3%); OR (95%CI):0.61 (0.19 to 1.98); P=0.56]. Similarly, proportion of children with seizure recurrence [5(15.6%) vs 2(6.1%); OR (95%CI): 2.87(0.51‐16.0); P=0.26] and proportion of children with calcification on follow‐up imaging [26(81.2%) vs 23(69.7%); OR (95%CI): 1.88 (0.59‐5.99); P=0.39] were also comparable. There were no major side‐effects noted during the study. CONCLUSION: 14‐day treatment with albendazole therapy is as effective as 28‐day treatment in achieving radiological resolution at six‐month follow up. However, high rate of calcification in both the groups indicates need for further evaluation with an adequately powered study and longer follow up.","59","12","916‐919","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 36333896","EMBASE 639446598",,,,"Journal article","*neurocysticercosis; Adolescent; Albendazole [therapeutic use]; Anthelmintics [therapeutic use]; Article; Calcification; Calcinosis [drug therapy]; Child; Clinical trial; Controlled study; Drug Therapy, Combination; Drug therapy; Female; Follow up; Human; Humans; Infant; Major clinical study; Male; Neurocysticercosis [complications, diagnosis, drug therapy]; Outcome assessment; Randomized controlled trial; Seizure; Seizures [diagnosis]; Side effect; Treatment Outcome",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02495130/full",
"CN-00628025","Thussu, A; Chattopadhyay, A; Sawhney, IM; Khandelwal, N","Albendazole therapy for single small enhancing CT lesions (SSECTL) in the brain in epilepsy","Journal of neurology, neurosurgery, and psychiatry","2008","BACKGROUND: Single small enhancing CT lesions (SSECTL) of the brain with or without perifocal oedema are common in patients with symptomatic epilepsy in India. Solitary cysticercus granuloma, a benign form of parenchymal neurocysticercosis, is considered to be the most common aetiology for SSECTL. Definite information is lacking regarding the effectiveness of antiparasitic treatment on resolution of these lesions and on long term seizure recurrence. OBJECTIVE: To evaluate the response to albendazole treatment in patients who had SSECTL and new onset seizures treated with antiepileptic drugs (AED) in a prospective clinical trial. METHODS: 43 patients who presented with new onset seizures and were documented to have SSECTL were alternatively allocated to receive albendazole 15 mg/kg/day for 2 weeks or no cysticidal therapy. All patients were treated with AED and followed for at least 6 months for seizure recurrence, and serial CT scans were obtained at 4 weeks, 3 months and at study completion. RESULTS: 28 (65%) patients were aged 5‐25 years and 31 (72%) presented clinically with partial motor seizures with or without generalisation. Most of the SSECTL were ring lesions (75%) and located in and around the sensory‐motor cortex at the gray‐white junction (65%). In the albendazole group, 56% of patients compared with 35% in the control group showed resolution of SSECTL (p = 0.154) at 1 month. 22 of 23 patients (95.6%), who received albendazole, compared with 14 of 20 patients (70%) in the control group, demonstrated radiological resolution on study completion (p = 0.03). Punctate residual calcification and seizure recurrence were observed in four patients (9.3%) in the control group and in three (7%) patients in the albendazole group (p = 0.47). CONCLUSIONS: In patients presenting with seizures due to single viable parenchymal neurocysticercosis, albendazole hastens the resolution of SSECTL if treatment is given in the early phase of the illness.","79","3","272‐275","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 17928325",,,,,"Journal article","Adolescent; Adult; Albendazole [*therapeutic use]; Anthelmintics [*therapeutic use]; Carbamazepine [therapeutic use]; Cerebral Cortex [diagnostic imaging, parasitology]; Child; Child, Preschool; Epilepsy [parasitology, *prevention & control]; Female; Humans; Male; Middle Aged; Neurocysticercosis [complications, *diagnostic imaging, *drug therapy]; Phenytoin [therapeutic use]; Prospective Studies; Recurrence; Seizures [parasitology, prevention & control]; Tomography, X‐Ray Computed","10.1136/jnnp.2007.128058","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00628025/full","Epilepsy; Infectious Diseases"
"CN-02028387","NCT00441285,","Neurocysticercosis: combined Treatment With Praziquantel (PZQ) and Albendazole (ABZ)","https://clinicaltrials.gov/show/NCT00441285","2007","Neurocysticercosis is the single major cause of acquired or late‐onset epilepsy in the world, and a common diagnosis in immigrant populations in the United States and other industrialized countries. An estimated 50 million humans are affected by Neurocysticercosis. The disease occurs when a parasite called Taenia solium, or the pig tapeworm, infects the brain, forming cysts. Neurocysticercosis is generally treated with 1 of 2 drugs, praziquantel or albendazole. However, current treatment with either of these drugs alone is not totally effective. The goal of this trial is to determine if combination drug therapy of praziquantel and albendazole is safe and more effective to cure Neurocysticercosis than either drug administered alone. This trial will consist of two sub‐studies and a parent study. In the first substudy which was performed and completed as the initial part and guide to the design of the parent study, a series of 32 patients with viable cystic intraparenchymal Neurocysticercosis were treated with either albendazole ( 15 mg / kg /d ) + praziquantel ( 50 mg / kg/ d ) or albendazole+Placebo in a double blind randomized study. Half of patients in each group had their seizure disorder treated with phenytoin and the other half with carbamazepine (not assigned by the study). The study was designed and powered for pharmacokinetic evaluation and exploratory safety so comparative cysticidal efficacy has not yet been analyzed. There were no safety concerns. Pharmacokinetics of ABZ and PZQ were obtained and described. In the parent study, a total of 240 participants ( including the 32 participants from the first substudy ) will be randomly chosen to receive albendazole + praziquantel, albendazole + placebo or albendazole at an increased dose + placebo for 10 days. These groups will also receive other standard medications to manage the disease including appropriate anti‐epileptic drug therapy. Participants will stay in the hospital for at least 2 weeks after treatment begins, which includes 5 days after the end of anti‐parasitic treatment. After discharge from the hospital, follow‐up visits will be on days 21 and 30 after treatment begins, then monthly until day 90, and finally every 3 months until completing 18 months. Brain images will be taken at 6 and 12 months after treatment begins. For participants, duration of the trial is 1 year and a half.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"CTgov NCT00441285","","","Trial registry record","Albendazole; Cysticercosis; Epilepsy; Neurocysticercosis; Praziquantel; Taeniasis",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02028387/full",
"CN-00881150","Khurana, N; Garg, RK; Verma, R; Malhotra, HS; Singh, MK; Shukla, R","Three-day versus 15-day course of albendazole therapy in solitary cysticercus granuloma: an open label randomized trial","Journal of the neurological sciences","2012","BACKGROUND: Albendazole therapy has been found effective in solitary cysticercus granuloma. An optimal duration of albendazole therapy is not exactly known. Even 3‐day therapy has been found effective. METHODS: We included 105 patients of new‐onset seizures and solitary cysticercus granuloma. We compared 3‐day albendazole therapy and 15‐day therapy with a control group. Each group had 35 patients. This was an open‐label randomized trial. Patients were followed for 6 months. MRI was done after 6 months. Seizure recurrences during follow‐up were noted. RESULTS: After 6 months, albendazole group, in comparison to placebo group, had significantly higher proportion (43/70 versus 13/35) of patients in whom lesion had disappeared. Albendazole treatment for 15 days was insignificantly better in comparison to 3‐day treatment regimen. In 15‐day albendazole group lesser number of lesions (2.8%) was calcified than 3‐day albendazole group (8.57%) or no treatment group (20%). After 6 months of follow‐up, seizure recurrence was seen in 20 (19%) patients. The majority (15/20) of patients, experiencing seizure recurrence, had an abnormal follow‐up MRI. Five patients had seizures despite normal MRI. CONCLUSION: In conclusion, albendazole was significantly better in producing lesion resolution. A 15‐day treatment with albendazole was better than 3‐day treatment. Albendazole, possibly, led to less number of lesions got calcified and possibly, there was less risk of seizure recurrence.","316","1‐2","36‐41","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 22342396",,,,,"Journal article","Adolescent; Adult; Albendazole [*administration & dosage]; Animals; Anthelmintics [*administration & dosage]; Child; Child, Preschool; Cysticercus; Drug Administration Schedule; Female; Follow‐Up Studies; Granuloma [complications, diagnosis, *drug therapy]; Humans; Male; Middle Aged; Neurocysticercosis [complications, diagnosis, *drug therapy]; Seizures [diagnosis, drug therapy, etiology]; Young Adult","10.1016/j.jns.2012.02.006","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00881150/full",
